0.5389975752009158 (34.0, 47.02127178203499)
0.0 (50.0, 43.30127018922193)
0.40733323622394035 (36.0, 46.647615158762406)
0.5929571810966863 (50.0, 43.30127018922193)
0.38705298283889605 (-6.0, 49.90991885387112)
0.0 (52.0, 42.708313008125245)
0.5971953165596351 (12.000000000000014, 49.63869458396342)
0.5341797159518554 (38.0, 46.24932431938871)
0.5991605227864336 (68.0, -36.66060555964671)
0.0 (54.0, 42.08325082500162)
0.4827202699956814 (54.25863986500216, -42.0)
0.301333490033248 (40.0, 45.8257569495584)
0.4969434281580015 (-4.0, 49.95998398718719)
0.0 (56.0, 41.42463035441595)
0.5976070041645346 (42.0, 45.37620521815371)
0.5895372132378117 (30.0, 47.69696007084728)
0.4870502505113112 (30.0, 47.69696007084728)
0.0 (58.0, 40.7308237088326)
0.5547938353973128 (44.0, 44.8998886412873)
0.3239513588695673 (32.0, 47.37087712930804)
0.350911402367274 (22.0, 48.774993593028796)
0.0 (60.0, 40.0)
0.5825947794082247 (46.0, 44.39594576084623)
0.2661268242633475 (74.0, -33.63034344160047)
0.5613592167926935 (12.000000000000014, 49.63869458396342)
0.0 (62.0, 39.23009049186606)
0.07195713410608699 (26.0, 48.28043081829325)
0.5109249732921972 (50.0, 43.30127018922193)
0.5801073080291282 (50.0, 43.30127018922193)
0.0 (64.0, 38.4187454245971)
0.418816080424605 (64.0, 38.4187454245971)
0.015385525824626711 (64.99230723708769, -38.0)
0.4367878062321184 (66.0, 37.5632799419859)
0.0 (66.0, 37.5632799419859)
0.5925118773120055 (22.0, 48.774993593028796)
0.31489191002056255 (42.0, 45.37620521815371)
0.5806069380796094 (54.0, 42.08325082500162)
0.0 (68.0, 36.66060555964671)
0.37001556070288893 (26.0, 48.28043081829325)
0.5934114792945796 (30.0, 47.69696007084728)
0.4936572547519483 (70.0, 35.70714214271425)
0.0 (70.0, 35.70714214271425)
0.49585693362941263 (58.0, 40.7308237088326)
0.42102304724755985 (48.0, 43.86342439892262)
0.46972103099250584 (34.0, 47.02127178203499)
0.0 (72.0, 34.698703145794944)
0.5052183815141487 (60.0, 40.0)
0.4894044380035774 (50.0, 43.30127018922193)
0.48971681033584735 (74.0, 33.63034344160047)
0.0 (74.0, 33.63034344160047)
0.47970642554462717 (42.0, 45.37620521815371)
0.5953786352088734 (64.0, 38.4187454245971)
0.4967325754441677 (64.0, 38.4187454245971)
0.0 (76.0, 32.49615361854384)
0.5220896831864933 (76.0, 32.49615361854384)
0.32501830161160683 (76.8374908491942, -32.0)
0.5114189168004187 (66.0, 37.5632799419859)
0.0 (78.0, 31.28897569432403)
0.27951095313535246 (52.0, 42.708313008125245)
0.2241321331177168 (58.0, 40.7308237088326)
0.46738511422133483 (52.0, 42.708313008125245)
0.0 (80.0, 29.999999999999993)
0.40533945515866254 (70.0, 35.70714214271425)
0.2308587451552079 (56.0, 41.42463035441595)
None
0.0 (82.0, 28.618176042508374)
0.5261578331389792 (64.0, 38.4187454245971)
0.30147858233618763 (82.8492607088319, -28.0)
0.3699455925638323 (62.0, 39.23009049186606)
0.0 (84.0, 27.12931993250108)
0.5893938804563461 (90.0, 21.794494717703365)
0.32550782793227084 (76.0, 32.49615361854384)
0.16674796749902043 (85.41662601625049, -26.0)
0.0 (86.0, 25.51470164434615)
0.45231823433498464 (78.0, 31.28897569432403)
0.581779434476823 (72.0, 34.698703145794944)
0.4536975956904712 (87.72684879784524, -24.0)
0.0 (88.0, 23.748684174075834)
0.21066720765063357 (74.0, 33.63034344160047)
0.43132045161002874 (76.0, 32.49615361854384)
0.5995545651491909 (89.7997772825746, -21.999999999999996)
0.0 (90.0, 21.794494717703365)
0.44556350716620174 (97.07728879609277, -12.0)
0.4299670431899673 (84.0, 27.12931993250108)
0.30302779823358605 (91.6515138991168, -20.0)
0.0 (92.0, 19.595917942265423)
0.3615748490594533 (99.6794863550169, 4.0)
0.5904606350496238 (93.29523031752481, -18.0)
0.40953936495037624 (93.29523031752481, -18.0)
0.0 (94.0, 17.058722109231987)
0.4835085172321669 (94.74175425861608, -16.0)
0.5164914827678331 (94.74175425861608, -16.0)
0.44022683794634737 (92.0, 19.595917942265423)
0.0 (96.0, 14.000000000000002)
None
0.15457759218554656 (97.07728879609277, -12.0)
0.2656313868664531 (94.0, 17.058722109231987)
0.0 (98.0, 9.94987437106621)
0.4234028680490667 (98.71170143402453, -8.0)
0.5765971319509333 (98.71170143402453, -8.0)
0.4452216641462883 (99.27738916792686, -6.0)
0.1600640512512541 (99.91996797437437, -2.0)
0.5984453911954719 (13.999999999999986, 49.50757517794626)
0.3360034612009407 (44.0, 44.8998886412873)
0.3309011258855996 (28.0, 48.0)
0.5399662535441483 (44.0, 44.8998886412873)
0.3867607946725397 (30.0, 47.69696007084728)
0.35612021377713554 (46.0, 44.39594576084623)
0.5591400502537216 (70.0, -35.70714214271425)
0.30212087893791717 (58.0, -40.7308237088326)
0.3910268807062012 (32.0, 47.37087712930804)
0.4082504458079645 (48.0, 43.86342439892262)
0.592094297039659 (48.0, 43.86342439892262)
0.37536197773005925 (60.0, -40.0)
0.4851087662452998 (50.0, 43.30127018922193)
0.49210855056083946 (50.0, 43.30127018922193)
0.5405384391407005 (50.0, 43.30127018922193)
0.4576521545599791 (62.0, -39.23009049186606)
0.421136893084717 (85.41662601625049, -26.0)
0.49642151685387453 (93.29523031752481, -18.0)
0.523438367731303 (52.0, 42.708313008125245)
0.5503527456368449 (64.0, -38.4187454245971)
0.5821348878377224 (54.0, 42.08325082500162)
0.17191245352877302 (54.0, 42.08325082500162)
0.5587633683960996 (54.0, 42.08325082500162)
0.48678007032060083 (56.0, 41.42463035441595)
0.45221883628040116 (56.0, 41.42463035441595)
0.5356198831226672 (66.0, -37.5632799419859)
0.4810767592659817 (32.0, 47.37087712930804)
0.5344093389362288 (68.0, -36.66060555964671)
0.31818247953060824 (58.0, 40.7308237088326)
0.4764192090931036 (58.0, 40.7308237088326)
0.4374417841271449 (69.39740629158989, -36.0)
